 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2003- 1- 1  0: 0: 0,     0.000,     0.215,     0.043,     0.023,    38.451,     0.534,     1.114,     1.452,     0.000,     0.000,     0.605,     0.605
2003- 1- 1  3: 0: 0,     0.000,     0.215,     0.043,     0.023,    38.382,     0.533,     1.112,     1.452,     0.000,     0.000,     2.359,     2.359
2003- 1- 1  6: 0: 0,     0.009,     0.215,     0.043,     0.024,    38.331,     0.533,     1.107,     1.452,     0.000,     0.002,     3.375,     3.375
2003- 1- 1  9: 0: 0,     0.000,     0.215,     0.043,     0.023,    38.263,     0.532,     1.100,     1.452,     0.000,     0.000,     4.655,     4.655
2003- 1- 1 12: 0: 0,     0.000,     0.215,     0.043,     0.023,    38.194,     0.531,     1.089,     1.452,     0.000,     0.000,     6.218,     6.218
2003- 1- 1 15: 0: 0,     0.889,     0.215,     0.043,     0.030,    39.705,     0.552,     1.150,     1.508,     0.131,     0.225,     7.681,     7.681
2003- 1- 1 18: 0: 0,     0.018,     0.215,     0.043,     0.025,    39.668,     0.551,     1.137,     1.509,     0.001,     0.004,     8.794,     8.794
2003- 1- 1 21: 0: 0,     0.000,     0.215,     0.043,     0.024,    39.597,     0.550,     1.122,     1.508,     0.000,     0.000,     9.526,     9.526
2003- 1- 2  0: 0: 0,     0.000,     0.215,     0.043,     0.024,    39.526,     0.549,     1.108,     1.508,     0.000,     0.000,    10.018,    10.018
2003- 1- 2  3: 0: 0,     0.000,     0.215,     0.043,     0.024,    39.455,     0.548,     1.094,     1.507,     0.000,     0.000,    10.470,    10.470
2003- 1- 2  6: 0: 0,     0.000,     0.215,     0.043,     0.024,    39.385,     0.547,     1.079,     1.507,     0.000,     0.000,    11.023,    11.023
2003- 1- 2  9: 0: 0,     0.000,     0.215,     0.043,     0.023,    39.314,     0.546,     1.064,     1.506,     0.000,     0.000,    11.739,    11.739
2003- 1- 2 12: 0: 0,     0.000,     0.215,     0.043,     0.023,    39.244,     0.545,     1.047,     1.505,     0.000,     0.000,    12.624,    12.624
2003- 1- 2 15: 0: 0,     1.382,     0.215,     0.043,     0.029,    41.365,     0.575,     1.245,     1.571,     0.382,     0.264,    13.690,    13.690
2003- 1- 2 18: 0: 0,     0.007,     0.215,     0.043,     0.025,    41.305,     0.574,     1.225,     1.571,     0.000,     0.002,    14.940,    14.940
2003- 1- 2 21: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.231,     0.573,     1.201,     1.570,     0.000,     0.000,    16.316,    16.316
2003- 1- 3  0: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.157,     0.572,     1.172,     1.569,     0.000,     0.000,    18.871,    18.871
2003- 1- 3  3: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.083,     0.571,     1.137,     1.568,     0.000,     0.000,    22.025,    22.025
2003- 1- 3  6: 0: 0,     0.000,     0.215,     0.043,     0.025,    41.009,     0.570,     1.096,     1.567,     0.000,     0.000,    25.341,    25.340
2003- 1- 3  9: 0: 0,     0.000,     0.215,     0.043,     0.025,    40.936,     0.569,     1.049,     1.566,     0.000,     0.000,    28.468,    28.468
2003- 1- 3 12: 0: 0,     0.031,     0.215,     0.043,     0.025,    40.904,     0.568,     0.999,     1.568,     0.002,     0.015,    31.231,    31.231
2003- 1- 3 15: 0: 0,     0.084,     0.215,     0.043,     0.029,    40.990,     0.570,     0.947,     1.573,     0.005,     0.022,    33.644,    33.644
2003- 1- 3 18: 0: 0,     0.266,     0.215,     0.043,     0.027,    41.378,     0.575,     0.898,     1.595,     0.017,     0.093,    35.840,    35.840
2003- 1- 3 21: 0: 0,     0.805,     0.215,     0.043,     0.025,    42.370,     0.589,     0.979,     1.643,     0.249,     0.197,    38.826,    38.826
