 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2003- 1- 1  0: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.452,     0.534,     1.114,     1.452,     0.000,     0.000,     0.605,     0.605
2003- 1- 1  3: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.384,     0.533,     1.111,     1.452,     0.000,     0.000,     2.978,     2.978
2003- 1- 1  6: 0: 0,     0.012,     0.212,     0.042,     0.024,    38.339,     0.533,     1.104,     1.452,     0.001,     0.003,     5.147,     5.147
2003- 1- 1  9: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.271,     0.532,     1.094,     1.452,     0.000,     0.000,     7.324,     7.324
2003- 1- 1 12: 0: 0,     0.000,     0.212,     0.042,     0.022,    38.204,     0.531,     1.082,     1.452,     0.000,     0.000,     9.806,     9.806
2003- 1- 1 15: 0: 0,     0.405,     0.212,     0.042,     0.029,    38.872,     0.540,     1.091,     1.479,     0.043,     0.110,    13.201,    13.201
2003- 1- 1 18: 0: 0,     0.023,     0.212,     0.042,     0.025,    38.846,     0.540,     1.070,     1.480,     0.001,     0.006,    17.137,    17.137
2003- 1- 1 21: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.778,     0.539,     1.042,     1.479,     0.000,     0.000,    20.732,    20.732
2003- 1- 2  0: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.710,     0.538,     1.009,     1.478,     0.000,     0.000,    24.160,    24.160
2003- 1- 2  3: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.641,     0.537,     0.970,     1.477,     0.000,     0.000,    27.228,    27.228
2003- 1- 2  6: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.573,     0.536,     0.927,     1.476,     0.000,     0.000,    30.136,    30.136
2003- 1- 2  9: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.505,     0.535,     0.880,     1.475,     0.000,     0.000,    32.920,    32.920
2003- 1- 2 12: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.437,     0.534,     0.829,     1.474,     0.000,     0.000,    35.435,    35.435
2003- 1- 2 15: 0: 0,     0.272,     0.212,     0.042,     0.024,    38.772,     0.539,     0.820,     1.487,     0.079,     0.057,    37.969,    37.969
2003- 1- 2 18: 0: 0,     0.009,     0.212,     0.042,     0.024,    38.721,     0.538,     0.760,     1.486,     0.001,     0.002,    42.418,    42.418
2003- 1- 2 21: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.653,     0.537,     0.695,     1.484,     0.000,     0.000,    43.655,    43.655
2003- 1- 3  0: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.585,     0.536,     0.630,     1.483,     0.000,     0.000,    43.397,    43.398
2003- 1- 3  3: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.517,     0.535,     0.569,     1.481,     0.000,     0.000,    42.292,    42.292
2003- 1- 3  6: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.449,     0.534,     0.513,     1.479,     0.000,     0.000,    40.840,    40.840
2003- 1- 3  9: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.381,     0.533,     0.461,     1.477,     0.000,     0.000,    39.406,    39.406
2003- 1- 3 12: 0: 0,     0.014,     0.212,     0.042,     0.023,    38.331,     0.533,     0.413,     1.476,     0.001,     0.007,    38.207,    38.207
2003- 1- 3 15: 0: 0,     0.096,     0.212,     0.042,     0.028,    38.446,     0.534,     0.371,     1.480,     0.006,     0.025,    37.299,    37.299
2003- 1- 3 18: 0: 0,     0.017,     0.212,     0.042,     0.024,    38.411,     0.534,     0.329,     1.479,     0.001,     0.004,    36.567,    36.567
2003- 1- 3 21: 0: 0,     0.011,     0.212,     0.042,     0.023,    38.363,     0.533,     0.288,     1.477,     0.000,     0.002,    35.901,    35.901
2003- 1- 4  0: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.295,     0.532,     0.250,     1.475,     0.000,     0.000,    35.176,    35.177
2003- 1- 4  3: 0: 0,     0.000,     0.212,     0.042,     0.023,    38.227,     0.531,     0.214,     1.472,     0.000,     0.000,    34.303,    34.303
