date,runoff
18960801,16.848496
18960802,14.1584
18960803,13.5354304
18960804,15.857408
18960805,18.5191872
18960806,44.457376
18960807,35.679168
18960808,24.06928
18960809,18.40592
18960810,14.1584
18960811,13.025728
18960812,11.043552
18960813,22.1437376
18960814,23.7294784
18960815,23.1631424
18960816,19.3120576
18960817,16.3671104
18960818,16.6502784
18960819,14.1584
18960820,12.4877088
18960821,11.043552
18960822,11.9780064
18960823,11.7797888
18960824,11.9780064
18960825,12.2894912
18960826,15.857408
18960827,16.848496
18960828,17.839584
18960829,20.104928
18960830,19.0288896
18960831,15.007904
18960901,14.1584
18960902,11.6665216
18960903,10.7320672
18960904,12.9124608
18960905,11.1001856
18960906,9.7976128
18960907,10.1090976
18960908,11.6665216
18960909,10.1090976
18960910,9.3728608
18960911,9.1746432
18960912,9.2879104
18960913,8.6649408
18960914,8.5516736
18960915,7.0792
18960916,43.89104
18960917,61.730624
18960918,59.182112
18960919,56.6336
18960920,63.429632
18960921,45.30688
18960922,25.768288
18960923,84.9504
18960924,110.718688
18960925,94.578112
18960926,63.429632
18960927,46.439552
18960928,35.112832
18960929,31.431648
18960930,33.413824
18961001,34.829664
18961002,45.590048
18961003,56.6336
18961004,36.81184
18961005,26.6744256
18961006,23.502944
18961007,18.972256
18961008,15.857408
18961009,14.583152
18961010,13.2239456
18961011,13.5354304
18961012,12.9690944
18961013,14.583152
18961014,18.0661184
18961015,21.2376
18961016,24.635616
18961017,24.4090816
18961018,18.972256
18961019,14.1584
18961020,15.432656
18961021,13.5354304
18961022,12.9690944
18961023,12.2328576
18961024,13.2239456
18961025,16.6502784
18961026,15.1778048
18961027,17.0467136
18961028,14.1584
18961029,13.4787968
18961030,12.9124608
18961031,11.5532544
18961101,13.4787968
18961102,13.9035488
18961103,15.857408
18961104,14.583152
18961105,14.7530528
18961106,26.334624
18961107,33.98016
18961108,48.421728
18961109,39.64352
18961110,31.714816
18961111,25.768288
18961112,21.3508672
18961113,31.997984
18961114,54.085088
18961115,40.209856
18961116,31.997984
18961117,29.73264
18961118,24.06928
18961119,20.4447296
18961120,20.2181952
18961121,18.972256
18961122,18.0661184
18961123,16.848496
18961124,18.2926528
18961125,15.1778048
18961126,14.583152
18961127,14.3283008
18961128,14.1584
18961129,14.3283008
18961130,18.40592
18961201,50.97024
18961202,58.898944
18961203,67.677152
18961204,68.526656
18961205,61.730624
18961206,65.12864
18961207,70.225664
18961208,84.100896
18961209,96.27712
18961210,99.958304
18961211,89.481088
18961212,75.889024
18961213,63.995968
18961214,54.368256
18961215,52.952416
18961216,159.140416
18961217,222.570048
18961218,250.320512
18961219,267.876928
18961220,242.10864
18961221,210.110656
18961222,172.166144
18961223,128.558272
18961224,95.144448
18961225,77.021696
18961226,65.978144
18961227,56.6336
18961228,54.085088
18961229,49.837568
18961230,44.740544
18961231,40.209856
18970101,47.572224
18970102,48.13856
18970103,48.988064
18970104,44.740544
18970105,44.174208
18970106,43.324704
18970107,42.4752
18970108,40.493024
18970109,39.077184
18970110,34.829664
18970111,33.413824
18970112,32.847488
18970113,33.98016
18970114,34.829664
18970115,40.493024
18970116,45.30688
18970117,47.005888
18970118,47.572224
18970119,46.156384
18970120,45.30688
18970121,46.156384
18970122,59.182112
18970123,89.481088
18970124,126.292928
18970125,92.595936
18970126,66.827648
18970127,59.182112
18970128,60.597952
18970129,56.350432
18970130,53.235584
18970131,41.342528
18970201,41.908864
18970202,77.588032
18970203,109.01968
18970204,138.185984
18970205,163.954272
18970206,163.954272
18970207,152.061216
18970208,161.972096
18970209,189.156224
18970210,211.809664
18970211,182.360192
18970212,122.328576
18970213,101.94048
18970214,101.94048
18970215,111.001856
18970216,96.843456
18970217,87.78208
18970218,90.330592
18970219,88.631584
18970220,78.154368
18970221,85.516736
18970222,119.496896
18970223,152.061216
18970224,158.57408
18970225,206.995808
18970226,235.595776
18970227,246.922496
18970228,227.95024
18970301,201.04928
18970302,159.98992
18970303,120.3464
18970304,100.241472
18970305,88.631584
18970306,79.003872
18970307,95.144448
18970308,131.389952
18970309,165.936448
18970310,198.500768
18970311,195.952256
18970312,182.360192
18970313,222.853216
18970314,280.33632
18970315,322.81152
18970316,362.45504
18970317,399.26688
18970318,410.5936
18970319,413.42528
18970320,368.1184
18970321,308.65312
18970322,243.241312
18970323,186.89088
18970324,142.150336
18970325,116.382048
18970326,101.94048
18970327,88.631584
18970328,75.889024
18970329,68.243488
18970330,65.12864
18970331,62.29696
18970401,60.031616
18970402,59.182112
18970403,54.934592
18970404,59.182112
18970405,68.809824
18970406,86.932576
18970407,111.001856
18970408,130.25728
18970409,109.01968
18970410,116.382048
18970411,180.378016
18970412,238.144288
18970413,277.50464
18970414,266.744256
18970415,243.241312
18970416,191.421568
18970417,132.239456
18970418,96.843456
18970419,80.419712
18970420,69.659328
18970421,59.182112
18970422,53.235584
18970423,50.403904
18970424,47.572224
18970425,46.156384
18970426,41.908864
18970427,43.324704
18970428,40.493024
18970429,37.661344
18970430,36.245504
18970501,35.679168
18970502,56.350432
18970503,71.358336
18970504,83.817728
18970505,71.358336
18970506,51.819744
18970507,44.740544
18970508,41.908864
18970509,36.245504
18970510,33.413824
18970511,31.997984
18970512,30.015808
18970513,31.431648
18970514,51.819744
18970515,75.889024
18970516,111.001856
18970517,101.94048
18970518,63.7128
18970519,47.572224
18970520,40.493024
18970521,36.245504
18970522,30.582144
18970523,24.352448
18970524,23.078192
18970525,24.352448
18970526,21.803936
18970527,20.671264
18970528,25.626704
18970529,26.90096
18970530,21.803936
18970531,19.538592
18970601,20.671264
18970602,19.538592
18970603,36.245504
18970604,29.449472
18970605,23.7011616
18970606,20.671264
18970607,18.972256
18970608,26.90096
18970609,26.90096
18970610,21.2376
18970611,18.40592
18970612,18.972256
18970613,16.7635456
18970614,16.28216
18970615,16.28216
18970616,15.7724576
18970617,13.308896
18970618,20.671264
18970619,14.299984
18970620,11.609888
18970621,10.194048
18970622,34.829664
18970623,28.175216
18970624,19.538592
18970625,15.291072
18970626,13.308896
18970627,12.459392
18970628,12.03464
18970629,16.28216
18970630,16.28216
18970701,12.459392
18970702,10.901968
18970703,10.194048
18970704,9.486128
18970705,8.778208
18970706,10.194048
18970707,9.486128
18970708,15.7724576
18970709,11.609888
18970710,10.901968
18970711,20.671264
18970712,22.4269056
18970713,33.413824
18970714,105.338496
18970715,82.11872
18970716,65.12864
18970717,37.661344
18970718,26.90096
18970719,18.972256
18970720,17.839584
18970721,17.273248
18970722,50.403904
18970723,86.083072
18970724,82.11872
18970725,62.29696
18970726,44.740544
18970727,37.661344
18970728,34.829664
18970729,30.015808
18970730,34.829664
18970731,30.582144
18970801,24.352448
18970802,17.839584
18970803,17.273248
18970804,12.459392
18970805,10.901968
18970806,10.5338496
18970807,10.194048
18970808,18.40592
18970809,15.291072
18970810,14.299984
18970811,10.901968
18970812,10.194048
18970813,13.733648
18970814,11.609888
18970815,8.778208
18970816,8.49504
18970817,9.8259296
18970818,8.211872
18970819,7.220784
18970820,7.220784
18970821,7.220784
18970822,7.4190016
18970823,6.9942496
18970824,10.901968
18970825,11.609888
18970826,11.609888
18970827,10.194048
18970828,9.1180096
18970829,7.928704
18970830,7.645536
18970831,12.03464
18970901,14.299984
18970902,40.493024
18970903,69.659328
18970904,48.988064
18970905,28.175216
18970906,18.972256
18970907,19.538592
18970908,15.291072
18970909,12.459392
18970910,10.194048
18970911,8.211872
18970912,7.4190016
18970913,7.4190016
18970914,7.645536
18970915,7.645536
18970916,7.4190016
18970917,6.796032
18970918,6.796032
18970919,6.796032
18970920,6.512864
18970921,5.946528
18970922,6.512864
18970923,6.229696
18970924,6.37128
18970925,6.229696
18970926,5.946528
18970927,5.66336
18970928,5.5500928
18970929,5.804944
18970930,5.946528
18971001,5.66336
18971002,5.5500928
18971003,5.4368256
18971004,5.66336
18971005,5.5500928
18971006,6.229696
18971007,5.946528
18971008,5.66336
18971009,5.4368256
18971010,5.66336
18971011,5.946528
18971012,5.946528
18971013,5.946528
18971014,5.946528
18971015,5.5500928
18971016,5.4368256
18971017,5.0120736
18971018,4.813856
18971019,5.0120736
18971020,5.238608
18971021,5.946528
18971022,5.804944
18971023,10.901968
18971024,13.308896
18971025,12.459392
18971026,14.299984
18971027,10.901968
18971028,12.459392
18971029,20.671264
18971030,21.803936
18971031,18.40592
18971101,13.308896
18971102,19.538592
18971103,26.90096
18971104,63.7128
18971105,60.597952
18971106,40.493024
18971107,28.175216
18971108,20.671264
18971109,22.4269056
18971110,17.273248
18971111,13.308896
18971112,14.299984
18971113,12.459392
18971114,10.901968
18971115,11.609888
18971116,12.459392
18971117,10.901968
18971118,10.194048
18971119,10.5338496
18971120,10.901968
18971121,10.194048
18971122,10.5338496
18971123,12.03464
18971124,10.5338496
18971125,10.194048
18971126,9.8259296
18971127,10.5338496
18971128,15.291072
18971129,24.352448
18971130,28.175216
18971201,29.449472
18971202,41.908864
18971203,40.493024
18971204,33.413824
18971205,30.582144
18971206,37.661344
18971207,43.324704
18971208,37.661344
18971209,31.997984
18971210,29.449472
18971211,25.626704
18971212,25.626704
18971213,21.803936
18971214,23.078192
18971215,25.626704
18971216,28.175216
18971217,29.449472
18971218,39.077184
18971219,34.829664
18971220,26.90096
18971221,28.175216
18971222,29.449472
18971223,44.740544
18971224,74.190016
18971225,86.932576
18971226,57.766272
18971227,54.934592
18971228,56.350432
18971229,69.659328
18971230,63.7128
18971231,53.235584
18980101,46.156384
18980102,40.493024
18980103,39.077184
18980104,36.245504
18980105,31.997984
18980106,29.449472
18980107,30.015808
18980108,28.3168
18980109,26.90096
18980110,25.626704
18980111,26.90096
18980112,27.5239296
18980113,30.582144
18980114,36.81184
18980115,36.245504
18980116,34.829664
18980117,31.997984
18980118,39.077184
18980119,40.493024
18980120,36.81184
18980121,34.829664
18980122,34.829664
18980123,36.245504
18980124,33.98016
18980125,36.245504
18980126,40.493024
18980127,54.085088
18980128,83.817728
18980129,75.889024
18980130,57.766272
18980131,47.572224
18980201,44.740544
18980202,44.174208
18980203,41.908864
18980204,37.661344
18980205,34.829664
18980206,31.997984
18980207,30.582144
18980208,30.582144
18980209,32.281152
18980210,29.449472
18980211,28.175216
18980212,26.90096
18980213,25.626704
18980214,25.626704
18980215,26.90096
18980216,23.078192
18980217,23.078192
18980218,21.803936
18980219,21.2376
18980220,20.671264
18980221,21.803936
18980222,30.582144
18980223,32.281152
18980224,33.413824
18980225,32.847488
18980226,30.582144
18980227,26.90096
18980228,23.078192
18980301,24.352448
18980302,22.4269056
18980303,21.2376
18980304,23.078192
18980305,43.324704
18980306,69.659328
18980307,107.320672
18980308,101.94048
18980309,68.243488
18980310,54.934592
18980311,50.403904
18980312,47.572224
18980313,43.324704
18980314,39.077184
18980315,48.988064
18980316,69.659328
18980317,82.11872
18980318,65.12864
18980319,57.766272
18980320,54.934592
18980321,48.988064
18980322,46.156384
18980323,40.493024
18980324,36.245504
18980325,32.281152
18980326,33.413824
18980327,32.281152
18980328,30.582144
18980329,30.582144
18980330,29.449472
18980331,33.413824
18980401,107.320672
18980402,144.132512
18980403,138.185984
18980404,101.94048
18980405,83.817728
18980406,88.631584
18980407,120.3464
18980408,156.025568
18980409,142.150336
18980410,91.746432
18980411,77.588032
18980412,71.358336
18980413,62.29696
18980414,56.350432
18980415,54.934592
18980416,51.819744
18980417,47.572224
18980418,44.740544
18980419,41.908864
18980420,37.661344
18980421,34.829664
18980422,31.997984
18980423,29.449472
18980424,26.90096
18980425,25.626704
18980426,30.582144
18980427,39.077184
18980428,57.766272
18980429,74.190016
18980430,72.774176
18980501,62.29696
18980502,50.403904
18980503,46.156384
18980504,38.510848
18980505,33.413824
18980506,30.582144
18980507,40.493024
18980508,63.7128
18980509,103.639488
18980510,116.382048
18980511,93.44544
18980512,68.243488
18980513,56.350432
18980514,54.934592
18980515,48.988064
18980516,44.740544
18980517,84.667232
18980518,128.275104
18980519,156.025568
18980520,140.16816
18980521,105.338496
18980522,80.419712
18980523,63.7128
18980524,71.358336
18980525,138.185984
18980526,180.378016
18980527,222.853216
18980528,245.789824
18980529,212.942336
18980530,142.150336
18980531,93.44544
18980601,80.419712
18980602,86.932576
18980603,69.659328
18980604,56.350432
18980605,40.493024
18980606,31.997984
18980607,26.90096
18980608,23.078192
18980609,20.671264
18980610,18.40592
18980611,16.28216
