Date,Runoff
2007/10/01/00,0.991088
2007/10/01/06,1.0194048
2007/10/01/12,1.011145733
2007/10/01/18,0.9167564
2007/10/02/00,0.979289333
2007/10/02/06,1.008786
2007/10/02/12,0.991088
2007/10/02/18,0.871921467
2007/10/03/00,0.963951067
2007/10/03/06,0.986368533
2007/10/03/12,1.013505467
2007/10/03/18,0.840065067
2007/10/04/00,0.972210133
2007/10/04/06,0.996987333
2007/10/04/12,1.0017068
2007/10/04/18,0.857763067
2007/10/05/00,0.979289333
2007/10/05/06,0.993447733
2007/10/05/12,1.448876267
2007/10/05/18,1.215262667
2007/10/06/00,1.091376667
2007/10/06/06,1.159808933
2007/10/06/12,1.2459392
2007/10/06/18,1.2176224
2007/10/07/00,1.986895467
2007/10/07/06,2.017572
2007/10/07/12,1.9573988
2007/10/07/18,1.552704533
2007/10/08/00,1.581021333
2007/10/08/06,1.509049467
2007/10/08/12,1.3238104
2007/10/08/18,1.011145733
2007/10/09/00,1.163348533
2007/10/09/06,1.131492133
2007/10/09/12,1.014685333
2007/10/09/18,0.848324133
2007/10/10/00,0.995807467
2007/10/10/06,1.0123256
2007/10/10/12,1.0335632
2007/10/10/18,0.914396667
2007/10/11/00,1.0017068
2007/10/11/06,0.999347067
2007/10/11/12,1.0158652
2007/10/11/18,0.9486128
2007/10/12/00,0.9486128
2007/10/12/06,0.9627712
2007/10/12/12,0.975749733
2007/10/12/18,0.937994
2007/10/13/00,0.972210133
2007/10/13/06,0.9698504
2007/10/13/12,0.975749733
2007/10/13/18,0.8884396
2007/10/14/00,0.9344544
2007/10/14/06,0.8884396
2007/10/14/12,0.922655733
2007/10/14/18,0.8424248
2007/10/15/00,0.858942933
2007/10/15/06,0.864842267
2007/10/15/12,0.8849
2007/10/15/18,0.840065067
2007/10/16/00,0.890799333
2007/10/16/06,0.861302667
2007/10/16/12,0.847144267
2007/10/16/18,0.7291576
2007/10/17/00,0.779891867
2007/10/17/06,0.830626133
2007/10/17/12,0.849504
2007/10/17/18,0.726797867
2007/10/18/00,0.8424248
2007/10/18/06,0.837705333
2007/10/18/12,0.902598
2007/10/18/18,0.832985867
2007/10/19/00,0.850683867
2007/10/19/06,0.873101333
2007/10/19/12,0.900238267
2007/10/19/18,0.791690533
2007/10/20/00,0.834165733
2007/10/20/06,0.871921467
2007/10/20/12,1.055980667
2007/10/20/18,1.326170133
2007/10/21/00,1.457135333
2007/10/21/06,1.402861467
2007/10/21/12,1.262457333
2007/10/21/18,1.0158652
2007/10/22/00,1.017045067
2007/10/22/06,0.991088
2007/10/22/12,0.946253067
2007/10/22/18,0.790510667
2007/10/23/00,0.8459644
2007/10/23/06,0.848324133
2007/10/23/12,0.844784533
2007/10/23/18,0.723258267
2007/10/24/00,0.783431467
2007/10/24/06,0.801129467
2007/10/24/12,0.9592316
2007/10/24/18,3.003940533
2007/10/25/00,2.670038267
2007/10/25/06,2.115500933
2007/10/25/12,3.448750267
2007/10/25/18,3.71658
2007/10/26/00,6.023219333
2007/10/26/06,7.6066004
2007/10/26/12,7.6419964
2007/10/26/18,7.133473867
2007/10/27/00,6.405496133
