NSCE  Elapsed_Time  RainFact    Ksat    WM    B    IM    KE    coeM    expM    coeR    coeS    KS    KI  
-3.819848e-01:  32.2813   0.800000  37.000000  120.000000  1.000000  1.000000  1.000000  90.000000  0.500000  1.000000  1.000000  1.000000  1.000000 
-4.898589e-01:  27.6094   0.847419  170.350398  167.696700  5.684737  0.177369  0.703760  31.572273  0.492978  0.711051  1.031062  1.454594  3.828267 
-2.364340e-01:  28.5156   1.379526  175.131493  338.442959  2.768298  1.743588  0.300599  77.192756  0.378755  0.632880  1.529022  0.783556  0.963617 
-4.534299e-01:  30.8125   1.285945  135.005150  130.806319  1.977462  0.185031  0.367334  66.652895  0.328997  0.811969  0.004958  0.998220  2.741718 
-3.833515e-01:  27.8594   1.279595  142.563221  401.799702  4.011191  1.818413  0.587019  84.205039  1.054973  0.754782  2.964847  0.665381  2.767289 
-6.969364e-01:  27.5000   0.948918  10.049633  67.585766  5.488306  1.963007  1.023247  63.082823  0.331076  0.620655  1.184680  1.843902  0.639542 
-4.977697e-01:  27.5781   0.860838  62.175109  453.964819  1.550996  2.457076  0.909178  129.001887  0.897337  1.346875  1.634895  1.143541  2.661309 
-1.297697e+00:  28.6250   1.306298  137.062184  46.706392  5.183671  3.181681  0.350890  66.715735  0.546570  0.936456  2.800717  0.293014  2.991694 
-4.826501e-02:  27.7813   0.956897  89.120406  54.323689  2.956089  1.913244  1.408737  97.363427  0.210283  1.011863  0.735125  0.330431  1.160988 
-3.476445e-01:  28.5156   1.359646  82.665137  198.235605  2.981201  0.695454  0.645807  100.119770  0.231159  1.373599  1.584777  1.515627  0.802420 
-4.182022e-01:  27.9063   0.769420  43.954722  245.821291  1.636965  0.494783  0.681346  86.967609  0.983749  1.077450  2.191724  1.073385  0.835730 
-1.258455e-01:  28.8125   0.834368  168.009739  78.438878  5.868967  1.315816  0.178061  5.608234  0.265896  0.696171  2.576848  0.588383  0.813145 
-5.656202e-01:  28.6719   1.226093  38.687010  242.230419  1.934561  2.211356  0.273239  120.585860  0.721810  0.545422  1.009175  1.080167  1.130034 
-9.444256e-02:  28.1250   0.938597  188.583759  446.653945  2.159610  3.454637  1.121548  19.543640  0.659158  0.901495  2.964508  0.629238  0.426533 
6.651551e-02:  27.7344   1.005943  163.237487  452.855841  2.957072  3.092206  1.062847  104.955932  0.675341  1.421676  2.143394  0.071460  1.726543 
-2.681794e-01:  27.4844   0.881756  28.448354  268.124884  2.107363  3.507670  1.474685  14.340940  0.853710  1.115561  2.081421  0.819184  0.447220 
-2.481185e-01:  28.7031   0.864758  43.479166  494.929428  0.656716  1.307669  0.222710  126.185369  0.796803  1.240307  1.851498  0.092354  1.497141 
-1.278248e-01:  28.9219   0.790002  135.341888  378.899612  2.818435  1.787238  0.283007  111.488861  1.064066  0.842588  0.178168  0.163119  3.926606 
-3.164507e-01:  28.7031   1.166295  31.115560  205.781196  3.644860  0.607842  0.104134  149.294496  1.052308  1.375509  2.983655  0.097482  2.159071 
-1.352624e-01:  27.5313   0.712546  96.211275  104.553736  2.364682  2.200148  0.977197  63.587893  0.548392  1.180966  1.240375  0.390107  3.774361 
-5.230153e-01:  27.9063   0.967014  57.903163  314.643513  4.418714  2.293979  1.147900  124.712144  0.232522  1.493925  2.817155  0.993279  2.732162 
-2.092588e+00:  28.6406   0.996227  177.457566  333.525322  4.928371  3.705106  0.147797  84.999087  0.500595  1.397695  0.866358  1.582847  2.124896 
-4.251773e-01:  27.9688   0.792080  26.318302  280.090647  4.128628  0.712150  1.222967  147.657475  0.605704  1.065840  1.417588  1.408040  1.255217 
-4.106528e-01:  28.6406   0.896658  63.693858  123.497162  1.444859  0.302179  0.404451  115.187022  0.466398  0.580990  0.236855  1.948525  0.894597 
-2.751172e-01:  28.0625   0.927996  190.668594  376.807792  1.950867  1.225836  1.414309  22.283766  0.958016  0.691185  1.220050  0.433489  2.444795 
-2.404849e-01:  28.5000   1.234759  179.053837  468.565449  3.628210  3.122568  0.487685  117.251432  0.676984  0.750591  0.571224  0.478850  3.136682 
-7.952779e-01:  29.2188   0.986703  188.832322  259.499490  0.933856  2.906764  0.314533  1.820165  0.568726  1.187511  1.651167  1.239829  2.583568 
